"id","data _ resource _ uid","data _ resource","catalogue _ number","taxon _ concept _ lsid","raw _ taxon _ name","raw _ common _ name","taxon _ name","rank","class","institution _ code","collection _ code","Locality","raw _ latitude","raw _ longitude","raw _ datum","latitude","longitude","min _ elevation _ d","max _ elevation _ d","min _ depth _ d","max _ depth _ d","individual _ count","basis _ of _ record","raw _ basis _ of _ record","Sex","taxonomic _ kosher","geospatial _ kosher","Data Resource ID","Occurrence status assumed to be present","Coordinates dont match supplied country","Geodetic datum assumed WGS84"
"773aa417-eabf-439a-8ce8-37a5aa9915c7","dr324","A Tenebrionid beetle’s dataset (Coleoptera, Tenebrionidae) from Peninsula Valdés (Chubut, Argentina) - Version 13.2","115-1","urn:lsid:catalogueoflife.org:taxon:d7807148-29c1-102b-9a4a-00304854f820:col20120124","Emmallodera hirtipes Kulzer,1955","","Tenebrionidae","family","Insecta","CENPAT","Entomologia","Biedma; San Pablo,Península Valdés_200-3","-42.64175034","-64.1763916","","-42.64175034","-64.1763916","82.0","82.0","0.0","0.0","1","PreservedSpecimen","PreservedSpecimen","","true","true","dr324","true","false","true"
"5ade442b-3568-4f4b-b125-d574de8c506e","dr324","A Tenebrionid beetle’s dataset (Coleoptera, Tenebrionidae) from Peninsula Valdés (Chubut, Argentina) - Version 13.2","72-1","urn:lsid:catalogueoflife.org:taxon:d97710d8-29c1-102b-9a4a-00304854f820:col20120124","Blapstinus punctulatus Solier,1851","","Blapstinus","genus","Insecta","CENPAT","Entomologia","Biedma; La Falsa,Península Valdés_100-2","-42.22544479","-63.86233521","","-42.22544479","-63.86233521","45.0","45.0","0.0","0.0","1","PreservedSpecimen","PreservedSpecimen","","true","true","dr324","true","false","true"
"52da9544-468a-4117-95ec-2428e11caedc","dr324","A Tenebrionid beetle’s dataset (Coleoptera, Tenebrionidae) from Peninsula Valdés (Chubut, Argentina) - Version 13.2","30-Ene","urn:lsid:catalogueoflife.org:taxon:d7807148-29c1-102b-9a4a-00304854f820:col20120124","Hylithus tentyroides Lacordaire","","Tenebrionidae","family","Insecta","CENPAT","Entomologia","Biedma; San Pablo,Península Valdés_400-2","-42.64075089","-64.17436218","","-42.64075089","-64.17436218","78.0","78.0","0.0","0.0","1","PreservedSpecimen","PreservedSpecimen","","true","true","dr324","true","false","true"
"4447ad27-dd18-4e97-8e30-8f13eb961e83","dr324","A Tenebrionid beetle’s dataset (Coleoptera, Tenebrionidae) from Peninsula Valdés (Chubut, Argentina) - Version 13.2","67-1","urn:lsid:catalogueoflife.org:taxon:d7807148-29c1-102b-9a4a-00304854f820:col20120124","Epitragus sp","","Tenebrionidae","family","Insecta","CENPAT","Entomologia","Biedma; El Progreso,Península Valdés_400-1","-42.22297287","-64.06219482","","-42.22297287","-64.06219482","54.0","54.0","0.0","0.0","1","PreservedSpecimen","PreservedSpecimen","","true","true","dr324","true","false","true"
"2861bfcd-cf0f-4e69-a251-bb77eb06d4b2","dr324","A Tenebrionid beetle’s dataset (Coleoptera, Tenebrionidae) from Peninsula Valdés (Chubut, Argentina) - Version 13.2","69-1","urn:lsid:catalogueoflife.org:taxon:d97710d8-29c1-102b-9a4a-00304854f820:col20120124","Blapstinus punctulatus Solier,1851","","Blapstinus","genus","Insecta","CENPAT","Entomologia","Biedma; El Progreso,Península Valdés_200-3","-42.22263718","-64.05936432","","-42.22263718","-64.05936432","51.0","51.0","0.0","0.0","1","PreservedSpecimen","PreservedSpecimen","","true","true","dr324","true","false","true"
"271b2e1e-d7cb-4aae-8c9f-1434632078f0","dr324","A Tenebrionid beetle’s dataset (Coleoptera, Tenebrionidae) from Peninsula Valdés (Chubut, Argentina) - Version 13.2","46-1","urn:lsid:catalogueoflife.org:taxon:d7807148-29c1-102b-9a4a-00304854f820:col20120124","Nyctelia nodosa Germar,1824","","Tenebrionidae","family","Insecta","CENPAT","Entomologia","Biedma; El Centro,Península Valdés_3200-3","-42.20144272","-64.00019073","","-42.20144272","-64.00019073","59.0","59.0","0.0","0.0","1","PreservedSpecimen","PreservedSpecimen","","true","true","dr324","true","false","true"
"24c7d4f8-c3c8-43d2-b706-8b5f6391a361","dr324","A Tenebrionid beetle’s dataset (Coleoptera, Tenebrionidae) from Peninsula Valdés (Chubut, Argentina) - Version 13.2","25-Ene","urn:lsid:catalogueoflife.org:taxon:d7807148-29c1-102b-9a4a-00304854f820:col20120124","Hylithus tentyroides Lacordaire","","Tenebrionidae","family","Insecta","CENPAT","Entomologia","Biedma; San Pablo,Península Valdés_800-2","-42.63783264","-64.17194366","","-42.63783264","-64.17194366","82.0","82.0","0.0","0.0","1","PreservedSpecimen","PreservedSpecimen","","true","true","dr324","true","false","true"
"241cc219-4bbd-4e9d-a495-f61ae3ed2a1c","dr324","A Tenebrionid beetle’s dataset (Coleoptera, Tenebrionidae) from Peninsula Valdés (Chubut, Argentina) - Version 13.2","71-1","urn:lsid:catalogueoflife.org:taxon:d97710d8-29c1-102b-9a4a-00304854f820:col20120124","Blapstinus punctulatus Solier,1851","","Blapstinus","genus","Insecta","CENPAT","Entomologia","Biedma; La Falsa,Península Valdés_100-3","-42.22555542","-63.86191559","","-42.22555542","-63.86191559","44.0","44.0","0.0","0.0","1","PreservedSpecimen","PreservedSpecimen","","true","true","dr324","true","false","true"
"21ebd526-6486-4ea4-b95f-0ca8d1340b86","dr324","A Tenebrionid beetle’s dataset (Coleoptera, Tenebrionidae) from Peninsula Valdés (Chubut, Argentina) - Version 13.2","14-Ene","urn:lsid:catalogueoflife.org:taxon:d7807148-29c1-102b-9a4a-00304854f820:col20120124","Ecnomoderes bruchi Gebien,1928","","Tenebrionidae","family","Insecta","CENPAT","Entomologia","Biedma; San Pablo, Península Valdés_200-3","-42.64175034","-64.1763916","","-42.64175034","-64.1763916","82.0","82.0","0.0","0.0","1","PreservedSpecimen","PreservedSpecimen","","true","true","dr324","true","false","true"
"10d542f0-f8d2-439d-bf3d-942f3eb83d40","dr324","A Tenebrionid beetle’s dataset (Coleoptera, Tenebrionidae) from Peninsula Valdés (Chubut, Argentina) - Version 13.2","74-1","urn:lsid:catalogueoflife.org:taxon:d7807148-29c1-102b-9a4a-00304854f820:col20120124","Mitragenius araneifoirmis Curtis,1845","","Tenebrionidae","family","Insecta","CENPAT","Entomologia","Biedma; La Falsa,Península Valdés_3200-2","-42.24383163","-63.83510971","","-42.24383163","-63.83510971","45.0","45.0","0.0","0.0","1","PreservedSpecimen","PreservedSpecimen","","true","true","dr324","true","true","true"
"0cd670f2-09a9-42f7-a946-12ca4809792e","dr324","A Tenebrionid beetle’s dataset (Coleoptera, Tenebrionidae) from Peninsula Valdés (Chubut, Argentina) - Version 13.2","25-Ene","urn:lsid:catalogueoflife.org:taxon:d7807148-29c1-102b-9a4a-00304854f820:col20120124","Hylithus tentyroides Lacordaire","","Tenebrionidae","family","Insecta","CENPAT","Entomologia","Biedma; San Pablo,Península Valdés_800-2","-42.63783264","-64.17194366","","-42.63783264","-64.17194366","82.0","82.0","0.0","0.0","1","PreservedSpecimen","PreservedSpecimen","","true","true","dr324","true","true","true"
"ff6926a7-3ae5-42ec-b3c4-34e7edde217d","dr324","A Tenebrionid beetle’s dataset (Coleoptera, Tenebrionidae) from Peninsula Valdés (Chubut, Argentina) - Version 13.2","96-1","urn:lsid:catalogueoflife.org:taxon:d97710d8-29c1-102b-9a4a-00304854f820:col20120124","Blapstinus punctulatus Solier,1851","","Blapstinus","genus","Insecta","CENPAT","Entomologia","Biedma; El Centro,Penísnsula Valdés_1600-3","-42.20314026","-63.98110962","","-42.20314026","-63.98110962","51.0","51.0","0.0","0.0","1","PreservedSpecimen","PreservedSpecimen","","true","true","dr324","true","false","true"
"fd09f1c3-f81e-4db9-ada5-1f92b414132f","dr324","A Tenebrionid beetle’s dataset (Coleoptera, Tenebrionidae) from Peninsula Valdés (Chubut, Argentina) - Version 13.2","88-1","urn:lsid:catalogueoflife.org:taxon:d7807148-29c1-102b-9a4a-00304854f820:col20120124","Hylithus tentyroides Lacordaire","","Tenebrionidae","family","Insecta","CENPAT","Entomologia","Biedma; El Centro,Península Valdés_800-3","-42.20363998","-63.95308304","","-42.20363998","-63.95308304","47.0","47.0","0.0","0.0","1","PreservedSpecimen","PreservedSpecimen","","true","true","dr324","true","true","true"
"fb30e4dc-baf8-4adf-9a7f-38eab338bd41","dr324","A Tenebrionid beetle’s dataset (Coleoptera, Tenebrionidae) from Peninsula Valdés (Chubut, Argentina) - Version 13.2","47-1","urn:lsid:catalogueoflife.org:taxon:d7807148-29c1-102b-9a4a-00304854f820:col20120124","Epitragus sp","","Tenebrionidae","family","Insecta","CENPAT","Entomologia","Biedma; San Pablo,Península Valdés_400-3","-42.64094543","-64.17488861","","-42.64094543","-64.17488861","78.0","78.0","0.0","0.0","1","PreservedSpecimen","PreservedSpecimen","","true","true","dr324","true","true","true"
"fb2ba38b-e317-483f-aa2f-ba6880d040ff","dr324","A Tenebrionid beetle’s dataset (Coleoptera, Tenebrionidae) from Peninsula Valdés (Chubut, Argentina) - Version 13.2","29-Ene","urn:lsid:catalogueoflife.org:taxon:d7807148-29c1-102b-9a4a-00304854f820:col20120124","Hylithus tentyroides Lacordaire","","Tenebrionidae","family","Insecta","CENPAT","Entomologia","Biedma; San Pablo,Península Valdés_1600-2","-42.62985992","-64.17224884","","-42.62985992","-64.17224884","85.0","85.0","0.0","0.0","1","PreservedSpecimen","PreservedSpecimen","","true","true","dr324","true","false","true"
"f912cb40-d830-4cec-9601-419ba45014cc","dr324","A Tenebrionid beetle’s dataset (Coleoptera, Tenebrionidae) from Peninsula Valdés (Chubut, Argentina) - Version 13.2","95-1","urn:lsid:catalogueoflife.org:taxon:d97710d8-29c1-102b-9a4a-00304854f820:col20120124","Blapstinus punctulatus Solier,1851","","Blapstinus","genus","Insecta","CENPAT","Entomologia","Biedma; El Centro,Península Valdés_1600-1","-42.20427704","-63.98141479","","-42.20427704","-63.98141479","53.0","53.0","0.0","0.0","1","PreservedSpecimen","PreservedSpecimen","","true","true","dr324","true","false","true"
"f86b0c0a-9461-4d09-bfd3-2d4f1f2813ac","dr324","A Tenebrionid beetle’s dataset (Coleoptera, Tenebrionidae) from Peninsula Valdés (Chubut, Argentina) - Version 13.2","120-1","urn:lsid:catalogueoflife.org:taxon:d97710d8-29c1-102b-9a4a-00304854f820:col20120124","Blapstinus punctulatus Solier,1851","","Blapstinus","genus","Insecta","CENPAT","Entomologia","Biedma; La Falsa,Península Valdés_100-3","-42.22555542","-63.86191559","","-42.22555542","-63.86191559","44.0","44.0","0.0","0.0","1","PreservedSpecimen","PreservedSpecimen","","true","true","dr324","true","false","true"
"f4590882-87e2-4093-b796-152e23f3bd33","dr324","A Tenebrionid beetle’s dataset (Coleoptera, Tenebrionidae) from Peninsula Valdés (Chubut, Argentina) - Version 13.2","113-1","urn:lsid:catalogueoflife.org:taxon:d7807148-29c1-102b-9a4a-00304854f820:col20120124","Hylithus tentyroides Lacordaire","","Tenebrionidae","family","Insecta","CENPAT","Entomologia","Biedma; El Centro,Península Valdés_100-1","-42.20508194","-63.96138763","","-42.20508194","-63.96138763","51.0","51.0","0.0","0.0","1","PreservedSpecimen","PreservedSpecimen","","true","true","dr324","true","true","true"
